Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0030543	0	1	0	1	0	1	0	2	0	1	0	1	0.55	1	1	1.42	0.506	0.174	0.861496841567909	NA	0	5.7412	4.4278	4.4278	TRUE	0.6699
FBgn0030544	0	0	0	1	0	0	0	0	0	1	0	0	0.08	0	0	1.696	0.762	0.187	0.851364854017046	NA	0	37.0654	10	10	TRUE	0.1402
FBgn0030545	466	143	196	579	250	332	235	223	279	295	350	407	298.22	246	351	1.422	0.508	2.754	0.00589103052035035	0.0601736339962851	0.0169	0.0234	0.0208	0.0208	TRUE	0.1536
FBgn0030551	4	0	4	8	3	2	2	0	6	4	4	2	3.07	3	3	1.419	0.505	0.408	0.68327628872335	NA	0	1.0374	0.7521	0.7521	TRUE	0.4247
FBgn0030552	836	328	360	848	357	497	421	513	513	432	499	609	497.92	482	513	1.066	0.092	0.531	0.595342297057008	0.88831980277931	0.0199	0.0192	0.0195	0.0195	TRUE	0.3085
FBgn0030554	502	211	229	420	203	229	253	330	326	214	284	281	281.28	303	260	0.857	-0.223	-1.155	0.248202326303572	0.659331380968064	0.0214	0.024	0.023	0.023	TRUE	0.2993
FBgn0030555	405	145	163	375	180	200	204	227	232	191	252	245	225.16	221	229	1.034	0.049	0.26	0.794655456396698	0.953959977253435	0.0116	0.0268	0.0204	0.0204	TRUE	0.2738
FBgn0030556	2598	968	1134	2246	1087	1252	1309	1513	1616	1145	1520	1535	1439.56	1479	1400	0.946	-0.08	-0.516	0.606084610817966	0.893754194292668	0.0187	0.015	0.0166	0.0166	TRUE	0.3158
FBgn0030558	2	2	0	2	0	2	1	3	0	1	0	2	1.27	1	1	0.879	-0.187	-0.097	0.922827225691546	NA	0.0453	2.4976	1.8299	1.8299	TRUE	0.3197
FBgn0030559	12	11	4	16	4	4	6	17	6	8	6	5	7.93	10	6	0.69	-0.535	-0.678	0.497948770036523	0.850523806178952	0.1434	0.4099	0.3113	0.3113	TRUE	1.0646
FBgn0030562	85	26	20	96	23	27	43	41	28	49	32	33	37.69	37	38	1.03	0.042	0.113	0.91014874547913	0.980583612952063	0.0336	0.0964	0.0733	0.0733	TRUE	0.6337
